destination	origin_snapshot_commit	origin_snapshot_path	origin_sha256	ported_sha256	adaptation
theories/SHAKEBlockSpec.ec	6177f8db0a2887314dbff213e5ca04234eece58e	haetae-ref-easycrypt/easycrypt/spec/KeygenShakeStreamSpec.ec	a07ebbd78de3dca5c53bd47617044b5d4529448b3cf64651d49ba3e9e662a97f	baa6e1d3330e40ecf46fdfff7856c59d84f0638ab92b41f25d674b8732b0eb2f	byte-serialization-definitions-and-lemmas;output-capacity-8192
theories/SHAKEBlockSpec.ec	6177f8db0a2887314dbff213e5ca04234eece58e	haetae-ref-easycrypt/easycrypt/spec/KeygenKeccak1600Spec.ec	d1a44606866a5f8f8028102758b7a163134707bfd20080d3e3df68cbad1958c8	baa6e1d3330e40ecf46fdfff7856c59d84f0638ab92b41f25d674b8732b0eb2f	pure-Word-definitions-and-round-recurrences;no-bit-level-imports
proofs/SHAKEBlockCorrectness.ec	6177f8db0a2887314dbff213e5ca04234eece58e	haetae-ref-easycrypt/easycrypt/refinement/TargetKeygenShakeStream.ec	295e7ecb0a83b5dea5b155823beb63f222e9940172895e0a94e939bc211d5a18	d8a0dbd8d2546670ad57cdcb8a392f81f16ec1c2025d8cb234f663482cb96cbd	squeeze256-loop-refinement-and-losslessness;retargeted-ApiTarget
proofs/SHAKEBlockCorrectness.ec	6177f8db0a2887314dbff213e5ca04234eece58e	haetae-ref-easycrypt/easycrypt/refinement/TargetKeygenKeccak1600.ec	ab6af7cda9ed63685addd26bca664767d4a403bf569433d4c2f6f811f91266e7	d8a0dbd8d2546670ad57cdcb8a392f81f16ec1c2025d8cb234f663482cb96cbd	word-refinement-and-losslessness;retargeted-ApiTarget
